"","min_rows","mtries","ntrees","model_ids","r2"
"90","4.0","4","100","rf.grid_model_6","0.5449470155627574"
"91","5.0","5","50","rf.grid_model_90","0.542651188633275"
"92","3.0","2","150","rf.grid_model_80","0.5399471958759103"
"93","4.0","4","50","rf.grid_model_74","0.5398616978969499"
"94","5.0","4","150","rf.grid_model_62","0.5389410518744795"
"95","5.0","3","50","rf.grid_model_77","0.5387481983014366"
"96","5.0","4","100","rf.grid_model_43","0.5386839984672599"
"97","2.0","2","50","rf.grid_model_26","0.5374477370242515"
"98","5.0","3","100","rf.grid_model_7","0.5373036142045757"
"99","5.0","3","150","rf.grid_model_100","0.5362799693760807"
"100","3.0","2","100","rf.grid_model_9","0.5359368996381322"
"101","5.0","4","50","rf.grid_model_13","0.5340357702034177"
"102","3.0","2","50","rf.grid_model_94","0.5310271776957003"
"103","4.0","2","150","rf.grid_model_22","0.5287408214347126"
"104","4.0","2","100","rf.grid_model_69","0.525145301800531"
"105","4.0","2","50","rf.grid_model_16","0.5207829989407331"
"106","5.0","2","150","rf.grid_model_27","0.5183386271295642"
"107","5.0","2","100","rf.grid_model_55","0.5153261580657514"
"108","5.0","2","50","rf.grid_model_84","0.5118021906694721"
