"","system.index","index","latitude","longitude","ratio",".geo"
"50","00000000000000000c02",2852,54.17,27.5,0.093550955,"{""type"":""Point"",""coordinates"":[27.499998570971393,54.16999790825858]}"
"51","00000000000000000dbe",3296,42.4,128.1,0.095713179,"{""type"":""Point"",""coordinates"":[128.09999825644354,42.40000001814077]}"
"52","000000000000000002d4",502,42.4011,128.1045,0.095726262,"{""type"":""Point"",""coordinates"":[128.1045019485075,42.40110141610098]}"
"53","00000000000000000c5d",2943,51.5,29.17,0.096365173,"{""type"":""Point"",""coordinates"":[29.169998802002674,51.499999674981524]}"
"54","000000000000000009db",2301,50,27,0.09650662,"{""type"":""Point"",""coordinates"":[26.9999995698485,49.99999821251181]}"
"55","1556",5463,49.23,15.37,0.096658711,"{""type"":""Point"",""coordinates"":[15.36999961640469,49.230000642602775]}"
"56","00000000000000000c5e",2944,51.5,29.17,0.097251586,"{""type"":""Point"",""coordinates"":[29.169998802002674,51.499999674981524]}"
"57","00000000000000002dc1",11508,45.4,-93.166667,0.097560976,"{""type"":""Point"",""coordinates"":[-93.16666485207469,45.39999848397915]}"
"58","000000000000000009da",2300,50,27,0.097587087,"{""type"":""Point"",""coordinates"":[26.9999995698485,49.99999821251181]}"
"59","1499",5274,51.33,42,0.099218544,"{""type"":""Point"",""coordinates"":[42.000000817242466,51.330000906419954]}"
"60","2775",9896,47.22,128.77,0.099879456,"{""type"":""Point"",""coordinates"":[128.77000048522905,47.21999841534729]}"
"61","000000000000000007c9",1771,41.4,125.1,0.1,"{""type"":""Point"",""coordinates"":[125.09999979060515,41.40000201589501]}"
"62","000000000000000024d6",9431,41.4,125.1,0.1,"{""type"":""Point"",""coordinates"":[125.09999979060515,41.40000201589501]}"
"63","000000000000000024fd",9470,41.4,125.1,0.1,"{""type"":""Point"",""coordinates"":[125.09999979060515,41.40000201589501]}"
"64","1.30E+03",5091,53,42,0.100039161,"{""type"":""Point"",""coordinates"":[42.00000081724247,53.000001137451235]}"
"65","00000000000000001a96",6807,49.23,15.37,0.100133511,"{""type"":""Point"",""coordinates"":[15.36999961640469,49.230000642602775]}"
"66","000000000000000013d7",5080,53,42,0.100936016,"{""type"":""Point"",""coordinates"":[42.00000081724247,53.000001137451235]}"
"67","00000000000000000fff",3873,42.75,128.27,0.100966184,"{""type"":""Point"",""coordinates"":[128.27000148410616,42.7499993189268]}"
"68","000000000000000024fe",9471,42.01666667,128.0833333,0.101368541,"{""type"":""Point"",""coordinates"":[128.08333459580683,42.016664477879196]}"
"69","00000000000000000c5c",2942,51.5,29.17,0.1015625,"{""type"":""Point"",""coordinates"":[29.169998802002674,51.499999674981524]}"
"70","00000000000000001a86",6791,49.23,15.37,0.101955572,"{""type"":""Point"",""coordinates"":[15.36999961640469,49.230000642602775]}"
"71","00000000000000000c8c",2990,43.5,27,0.101973684,"{""type"":""Point"",""coordinates"":[26.999999569848498,43.49999782061113]}"
"72","2777",9898,29.63,106.68,0.102174663,"{""type"":""Point"",""coordinates"":[106.6800018082498,29.62999966667615]}"
"73","00000000000000000dbd",3295,42.75,128.27,0.102673039,"{""type"":""Point"",""coordinates"":[128.27000148410616,42.7499993189268]}"
"74","00000000000000002caa",11229,-37.63,145.58,0.102914835,"{""type"":""Point"",""coordinates"":[145.57999990032826,-37.63000152104654]}"
"75","1.00E+00",258,41.4,125.1,0.103151862,"{""type"":""Point"",""coordinates"":[125.09999979060515,41.40000201589501]}"
"76","00000000000000000cff",3105,42.17,43,0.103299055,"{""type"":""Point"",""coordinates"":[42.99999881948824,42.16999958580404]}"
"77","000000000000000014f7",5368,49.5,27.5,0.1039061,"{""type"":""Point"",""coordinates"":[27.499998570971393,49.499999211388925]}"
"78","2778",9899,34.16,105.54,0.103937757,"{""type"":""Point"",""coordinates"":[105.540001410229,34.16000042687182]}"
"79","00000000000000000c21",2883,54.75,28.17,0.104330546,"{""type"":""Point"",""coordinates"":[28.170000799756895,54.75000210048239]}"
"80","000000000000000014f8",5369,49.5,27.5,0.104679245,"{""type"":""Point"",""coordinates"":[27.499998570971393,49.499999211388925]}"
"81","00000000000000000a0a",2348,50,27,0.104761905,"{""type"":""Point"",""coordinates"":[26.9999995698485,49.99999821251181]}"
"82","00000000000000000c5f",2945,51.5,29.17,0.105140187,"{""type"":""Point"",""coordinates"":[29.169998802002674,51.499999674981524]}"
"83","00000000000000000a0b",2349,50,27,0.105728924,"{""type"":""Point"",""coordinates"":[26.9999995698485,49.99999821251181]}"
"84","00000000000000000bac",2766,58,33,0.105892585,"{""type"":""Point"",""coordinates"":[33.00000096062631,58.0000000668822]}"
"85","996",2232,51,30,0.105927119,"{""type"":""Point"",""coordinates"":[29.999998035686875,51.000000673858636]}"
"86","00000000000000000cf2",3092,51.82,9.58,0.105929508,"{""type"":""Point"",""coordinates"":[9.579999589738929,51.819998143879964]}"
"87","000000000000000014fd",5374,49.5,27.5,0.106371454,"{""type"":""Point"",""coordinates"":[27.499998570971393,49.499999211388925]}"
"88","000000000000000014df",5344,50.67,26.5,0.106488011,"{""type"":""Point"",""coordinates"":[26.500000568725618,50.67000044129732]}"
"89","0000000000000000277c",9903,35.69,109.1,0.106601467,"{""type"":""Point"",""coordinates"":[109.10000054096541,35.68999826212806]}"
"90","000000000000000009fe",2336,50,27,0.106698895,"{""type"":""Point"",""coordinates"":[26.9999995698485,49.99999821251181]}"
"91","00000000000000000c5b",2941,51.5,29.17,0.107033639,"{""type"":""Point"",""coordinates"":[29.169998802002674,51.499999674981524]}"
"92","00000000000000000caf",3025,52.48,-0.25,0.107526882,"{""type"":""Point"",""coordinates"":[-0.24999950056144316,52.4799986090026]}"
"93","2315",8982,-42.82,147.51,0.107748371,"{""type"":""Point"",""coordinates"":[147.51000139558388,-42.8199982872638]}"
"94","00000000000000000cf1",3091,51.82,9.58,0.107855655,"{""type"":""Point"",""coordinates"":[9.579999589738929,51.819998143879964]}"
"95","000000000000000014f9",5370,49.5,27.5,0.108247097,"{""type"":""Point"",""coordinates"":[27.499998570971393,49.499999211388925]}"
"96","00000000000000000cf0",3090,51.82,9.58,0.108424257,"{""type"":""Point"",""coordinates"":[9.579999589738929,51.819998143879964]}"
"97","1442",5187,55.83,39,0.108462455,"{""type"":""Point"",""coordinates"":[38.99999789230304,55.83000083472803]}"
"98","1.30E+02",5090,53,42,0.108467846,"{""type"":""Point"",""coordinates"":[42.00000081724247,53.000001137451235]}"
"99","1814",6165,35.2,140.1,0.108530594,"{""type"":""Point"",""coordinates"":[140.1000010379991,35.200001024668055]}"
"100","9.00E+03",2309,50,27,0.108695652,"{""type"":""Point"",""coordinates"":[26.9999995698485,49.99999821251181]}"
"101","00000000000000000cef",3089,51.82,9.58,0.1087033,"{""type"":""Point"",""coordinates"":[9.579999589738929,51.819998143879964]}"
"102","000000000000000013d6",5079,53,42,0.108906621,"{""type"":""Point"",""coordinates"":[42.00000081724247,53.000001137451235]}"
"103","00000000000000000d02",3108,42.17,43,0.108920054,"{""type"":""Point"",""coordinates"":[42.99999881948824,42.16999958580404]}"
"104","1500",5377,49.5,27.5,0.109191675,"{""type"":""Point"",""coordinates"":[27.499998570971393,49.499999211388925]}"
"105","125",71,42.1,128.3,0.109225413,"{""type"":""Point"",""coordinates"":[128.29999785689267,42.10000061746704]}"
"106","00000000000000000cee",3088,51.82,9.58,0.109268362,"{""type"":""Point"",""coordinates"":[9.579999589738929,51.819998143879964]}"
"107","00000000000000002cdd",11280,51.783333,9.583333,0.109329446,"{""type"":""Point"",""coordinates"":[9.5833349973269,51.78333095591747]}"
"108","00000000000000000ced",3087,51.82,9.58,0.109337415,"{""type"":""Point"",""coordinates"":[9.579999589738929,51.819998143879964]}"
"109","0000000000000000070e",1584,42.1,128.3,0.11,"{""type"":""Point"",""coordinates"":[128.29999785689267,42.10000061746704]}"
"110","2416",9239,42.1,128.3,0.11,"{""type"":""Point"",""coordinates"":[128.29999785689267,42.10000061746704]}"
"111","000000000000000024ff",9472,42.1,128.3,0.11,"{""type"":""Point"",""coordinates"":[128.29999785689267,42.10000061746704]}"
"112","1492",5267,51.33,42,0.110054606,"{""type"":""Point"",""coordinates"":[42.000000817242466,51.330000906419954]}"
"113","00000000000000000cec",3086,51.82,9.58,0.110151269,"{""type"":""Point"",""coordinates"":[9.579999589738929,51.819998143879964]}"
"114","000000000000000014f6",5367,49.5,27.5,0.110503751,"{""type"":""Point"",""coordinates"":[27.499998570971393,49.499999211388925]}"
"115","000000000000000014f5",5366,49.5,27.5,0.110769918,"{""type"":""Point"",""coordinates"":[27.499998570971393,49.499999211388925]}"
"116","00000000000000001a94",6805,49.23,15.37,0.110868298,"{""type"":""Point"",""coordinates"":[15.36999961640469,49.230000642602775]}"
"117","1818",6169,35.2,140.1,0.110967979,"{""type"":""Point"",""coordinates"":[140.1000010379991,35.200001024668055]}"
"118","00000000000000000ceb",3085,51.82,9.58,0.111007608,"{""type"":""Point"",""coordinates"":[9.579999589738929,51.819998143879964]}"
"119","0000000000000000273b",9838,30.5,117.0333333,0.111111111,"{""type"":""Point"",""coordinates"":[117.03333437548575,30.500001495910816]}"
"120","0000000000000000277d",9904,36.62,116.75,0.111111111,"{""type"":""Point"",""coordinates"":[116.74999863544873,36.62000175513789]}"
"121","0000000000000000277e",9905,31.75,105.21,0.11130742,"{""type"":""Point"",""coordinates"":[105.21000117766769,31.74999899871803]}"
"122","000000000000000010f8",4122,36.8,111.2,0.111932162,"{""type"":""Point"",""coordinates"":[111.2000008047826,36.79999782826129]}"
"123","000000000000000017ae",6063,44,-72,0.112052916,"{""type"":""Point"",""coordinates"":[-71.99999885292934,44.000001280835065]}"
